Station code,time to next station,time to previous station
2A1,60,-1
2A2,60,60
2A3,30,60
2B1,60,30
2B2/1B3,60,60
2B4,60,60
2C1,60,60
2C2,120,60
2C4,90,120
2C3,150,90
2D2,90,150
2E1/6F1,90,90
2E2,90,90
2F1,120,90
2G1,-1,120
