Station code,time to next station,time to previous station
1Y1,90,-1
1Z1,240,90
1A1/6A1,90,240
1A2,90,90
1B1,120,90
1B2,90,120
1B3/2B2,150,90
1B4,120,150
1C1,120,120
1C2,90,120
1C3,60,90
1C4,120,60
1D2,90,120
1D5,60,90
1.00E+02,90,60
1F4,60,90
1F5,60,60
1F7,60,60
1F8,60,60
1F9,60,60
1G1,60,60
1G2,60,60
1H2,60,60
1J1,60,60
1J2,-1,60
